evaluation,label,正面为0，中立为1，负面为2,,,,,,,,,,,,,,,,,,,
假如阳了，有钱人可能是一次平常的感冒，穷人就是一场难熬的大病；体壮者可能是一场毛毛雨，体弱者肯定是雪上加霜；专家们的理论很丰满.现实觉很骨感，但普通老百姓也许只能听天由命！最后提示面对来势汹汹的病毒∶不要恐慌，但不要掉以轻心；不要悲观，但不要太乐观！,1,1,,,,,,,,,,,,,,,,,,,
路边的抗原不要捡！一个朋友在路上捡到一个阳性抗原，随后就“阳”了。,1,1,,,,,,,,,,,,,,,,,,,
比新冠病毒更可怕的，是人的负面情绪传染。最近网上抱怨放开的人越来越多，诚然新冠病毒感染速度远超预期，引起的身体不适远超专家所述，甚至出现了大规模的重症和死亡现象，但是喷子们为什么不去想想？,1,1,,,,,,,,,,,,,,,,,,,
如果有比新冠病毒更毒的东西，那就是张文宏的言论。得新冠，大多数人都会康复，除了死去和小数后遗症者，但听信张文宏的反科学、反智、混乱的言论的信众，几乎终生成为反科学、反智的盲从者，并影响其子女及家人，其社会危害甚于病毒。,1,1,,,,,,,,,,,,,,,,,,,
不要相信身边任何一个人，都是身边人给传染的。 以前，最怕被朋友阴。现在，就怕被家人阳。,"2,1,5","2,1,5",,,,,,,,,,,,,,,,,,,
阳了以后出现了呼吸困难，气短，嗓子有痰。终于受不住去了一趟医院，坐等结果。,1,1,,,,,,,,,,,,,,,,,,,
姐姐、老妈依次中招，我被紧急召回！幸好我已阳康，坚信94岁的老妈能扛的住新冠病毒的袭击！车速接近350km／h，车厢基本满员，相信一切都会好起来的！,"0,68,73","0,68,73",,,,,,,,,,,,,,,,,,,
进入恐怖酷刑状态……逼着自己吃吃吃想问问 有额头不太热 腋下39度的姐妹吗 这种时候该不该吃退烧药呢？整个人发冷又酸痛。,1,1,,,,,,,,,,,,,,,,,,,
怎么现在还有人在质疑当初新冠的致命性呢？要知道当初新冠肺炎的毒性是现在的40倍，现在致死率已经很低很低了，从开始必死的疫情到现在的重型感冒，那个时候感染了会肺纤维化，这是不可逆的，武汉替所有人承受了第一波最严重疫情，所以真的不要因为吃第三碗饭饱了就说前面两碗没意义了。,1,1,,,,,,,,,,,,,,,,,,,
看台湾疫情的蔓延情况，开始蔓延滞后半个月时间，死亡率（重症）才开始上升，整个高峰期和反复持续期长达8个多月。,1,1,,,,,,,,,,,,,,,,,,,
美国人好狠啊，伤敌一千自损八百，解决人口解决老人。甚至让人浑身酸软无力，无法剧烈运动，产生内部矛盾，攻击内部，这场没有硝烟的战争打了几年了，真是让人痛恨。,"2,75,77","2,75,77",,,,,,,,,,,,,,,,,,,
咱就说，有没有一种可能，进入决赛圈的选手，所谓的天选打工人，都是无症状感染者？,1,1,,,,,,,,,,,,,,,,,,,
我想知道，有没有和我一样， 阳的第三天上午右面上下牙梗肿了，睡一觉后左面上下牙梗也肿了。这是新冠症状吗？,1,1,,,,,,,,,,,,,,,,,,,
我什么浑身发冷呢！原来是中奖了！还好只是38度而已，还是能吃能睡的,"0,17,19","0,17,19",,,,,,,,,,,,,,,,,,,
免疫系统：这把高端局。顶住，千万别拖后腿。不想去历劫！,"0,12,14","0,12,14",,,,,,,,,,,,,,,,,,,
咱就是说，学校就是个垃圾学校，领导就是个垃圾领导，老师去做核酸检测，阳了就是为了偷懒请假，真的寒心这句话；管你啥症状，就是得上完课，完全不顾老师学生死活的老师提意见就是没领导回复。,"2,11,13,48,50","2,11,13,48,50",,,,,,,,,,,,,,,,,,,
"我从阳到现在已经半个多月了，还是喘不上气，浑身没劲气不足。到现在我都想不明白，手机为啥在冰箱里，我觉得自己新冠后遗症还是挺严重的,也不知这个后遗症会持续多久……","2,62,64","2,62,64",,,,,,,,,,,,,,,,,,,
我高估了，一场疫情也没能提高大家的用药意识，什么西药副作用大，发烧40度也不吃的人可真倔！西药副作用大要医生做什么？不断研发药物的意义是什么？难道你的肝肾在正确用药下都没能把药代谢掉吗？真的太讨厌那种不懂药又在装懂还大肆宣传的说教。,"2,97,99","2,97,99",,,,,,,,,,,,,,,,,,,
"现在的北京,人命最不值钱呀!全北京只有5个医院有ECMO,全都饱和，一天天的。求求了！专家们，你们看看吧！","2,7,13","2,7,13",,,,,,,,,,,,,,,,,,,
为什么我们买不到退烧药？今天看朋友圈，有人发卖布洛芬和孩子用的退烧药。,"2,6,9","2,6,9",,,,,,,,,,,,,,,,,,,
放开以后这个传播速度真的吓人，尤其我国人口密度这么大，我同学刚转阴，出去去了趟超市回来又阳了，当晚就发起低烧……说不难受是不可能的，我们医疗条件又那么差，民众又喜欢抢药，我对未来能不能经济变好真不乐观。,"2,98,101","2,98,101",,,,,,,,,,,,,,,,,,,
新冠真的毒，哪怕已经被稀释了40倍的依然不可小觑。孕妇真的太难了，千防万防还是中招了。幸运的是没发烧，硬抗一周后今天总算有味觉了，虽然还是两条杠，但看到了胜利的曙光。备上了爱吃的甜食，晒晒太阳，抓紧享受一下周末。因为明天又要开始搬砖了。,1,1,,,,,,,,,,,,,,,,,,,
最近谣言多起来了。再来说一个。谣言：建议感染过的人，都去拍个肺部CT，看看是不是有肺部损伤？因为肺部损伤很常见，早发现早救命。这其实是扯淡。,"2,68,70","2,68,70",,,,,,,,,,,,,,,,,,,
早晨起床后，咽喉红肿，测了下抗原没有复阳，赶紧下楼买了一瓶56度二锅头，用鼻子吸，而后又出去跑了10公里，缓解多了。身处高浓病毒环境下，虽然体内已有抗体和免疫细胞，也不能大意，必须尽可能将病毒歼灭于摇篮中！,1,1,,,,,,,,,,,,,,,,,,,
感染新冠以后，绝大多数人3天退烧，感觉自己恢复了，但其实这个病毒彻底从体内清出，根据个人的体质不同,1,1,,,,,,,,,,,,,,,,,,,
“阳康”后，第四针有必要继续接种吗，隔多久可以打？,1,1,,,,,,,,,,,,,,,,,,,
"今天是55周岁的生日!疫情原因没有出去,哥哥嫂子在家里做的。有生以来不同以往的生日是在新冠被传染的阴霾下度过的。也算是值得纪念一下吧。",1,1,,,,,,,,,,,,,,,,,,,
下午监考回来，看见领导没精神的躺在沙发上。一问，果然阳了，发烧浑身酸痛。看来都躲不过去了。,"2,40,43","2,40,43",,,,,,,,,,,,,,,,,,,
好难受啊头好疼啊虽然是第一天症状比较轻，还以为中午舒服点就行了一到晚上就发热，脚却还是冷的,"2,2,4","2,2,4",,,,,,,,,,,,,,,,,,,
祝大家能早日康复，也真心的希望各位用不到这份总结。最后祝大家圣诞节快乐，万事顺遂。,1,1,,,,,,,,,,,,,,,,,,,
感染新冠后不能洗澡没有科学依据。洗澡不会让病程延长，也不会增加新的感染风险。唯一需要注意的是，有些人发烧身体会感到疲倦，洗澡时间长了可能会更劳累，因此洗澡时可能有跌倒的风险，洗澡时间一定要短。,1,1,,,,,,,,,,,,,,,,,,,
也许吧，我说也许，人们的心态因为疫情会有变化。以前还纠结老了以后怎么养老，现在好了，可能人都活不了那么老，或者就是带病痛折磨的活着。心态反而更放松了，及时行乐，不留遗憾。,1,1,,,,,,,,,,,,,,,,,,,
发现闻不到味道了，传说中的失去嗅觉突然降临。唉现在真的无比怀念天天测核酸的日子，健康生活的日子啊,"2,28,32","2,28,32",,,,,,,,,,,,,,,,,,,
当新冠遇上圣诞昨晚晨晨把圣诞袜放到门口，等着圣诞老人来送礼物，满怀期待的睡了觉。今早发现她的圣诞袜里多了一个橙子，一个沙琪玛。也依然很高兴。今晚告诉我，还想吃去年吃的那个糖，自己又默默的把圣诞袜放到了门口。我告诉她圣诞老人就送一次礼物，他太忙，没法送两次。可晨晨依然相信圣诞老人还会给她送礼物。,1,1,,,,,,,,,,,,,,,,,,,
阳的第二天发烧到39度40度，疼到想哭难受能感觉到我的心跳非常的快，嗖嗖嗖有点挺不下去了，希望广大网友们回复一下去社区打退热针怎么样？,1,1,,,,,,,,,,,,,,,,,,,
两个月前的我未知的恐惧和各种不知所措三年前，比现在阳了更难！我抗过来，我们都抗过来 ，我真棒，我们真棒。,"0,45,47","0,45,47",,,,,,,,,,,,,,,,,,,
今天刚退烧，我会不会一个激动诱发心肌炎什么的？虽然我的思维可能也有点问题，但也不是没原因的吧，可能是一种叫“累积-爆发”的关系，当然也不完全是（各种原因都有，包括工作吧？），但如果我最近死了，导火索一定是这个的。我爸是派来气我的吗？今晚三更半夜我会突然死在床上吗？心胸是有点不舒服。,"2,138,140","2,138,140",,,,,,,,,,,,,,,,,,,
“你们不过是死了亲人，而我是心中的一小块痛啊”典型的不知人间疾苦的小布尔乔亚式的无病呻吟。,"2,41,45","2,41,45",,,,,,,,,,,,,,,,,,,
听闻身边第一例因新冠死去的老人，老家的村上，年近90，妈妈好朋友的妈妈，该死的疫情赶紧过去吧！,"2,37,39","2,37,39",,,,,,,,,,,,,,,,,,,
对房地产市场，避而不谈，视而不见对股市市场，用脚操作，用脚回应对防疫抗疫，勿需组织，自我担当对专家进言，置若罔闻，方有人生世上从来没有什么救世主觉悟和醒悟告诉生命自信自强是永恒不变的真理。毕竟，生命只有一次不要轻易、随意被谗言所惑、所蒙蔽任何时候，最解压、解气的有效途径除了自己，就是父母和温暖的白开水。,1,1,,,,,,,,,,,,,,,,,,,
为了提高每位员工的免疫力，医院特为家人准备了柠檬片补充维C。共克时艰，“春天”定会如期而至，加油杭州！,"0,47,49","0,47,49",,,,,,,,,,,,,,,,,,,
这病还有完没完了。一个朋友复阳，说咳的肺都要出来了。一个朋友现在不能还不能吃肉。一个朋友又开始发低烧了。一个朋友心脏疼，虚的没力气。一个朋友每天咳的要死。我昨天失眠到四点半，一度冷，去年无力，心脏不舒服。新冠比我们想的要更难受。这可真不是什么大号流感。太难受了，什么时候是个头啊。,2，4，8，112，114,2，4，8，112，114,,,,,,,,,,,,,,,,,,,
当权威发布不再权威，当专家变成砖家。,"2,16,18","2,16,18",,,,,,,,,,,,,,,,,,,
自己转阴后第12天，老妈阳后第六天，虽然今天尚未转阴，但一切向好！,"0,29,33","0,29,33",,,,,,,,,,,,,,,,,,,
2023年1月8日起，结束了！乙类乙管！不管你愿意不愿意，国家决定了，保护自己的第一责任人！全面放开出入境限制！彻底溶于国际大循环，不再隔离，不再核酸检测！,1,1,,,,,,,,,,,,,,,,,,,
从全员核酸到非必要不核酸，从有家不能回到有家不敢回。还有经常性的全员在岗、取消休假。疫情三年，最后还是医护人员扛下了所有。希望疫情早日散去，早日回归正常生活。,"0,62,64","0,62,64",,,,,,,,,,,,,,,,,,,
九江市第一人民医院，真的呼吸内科人特别多，大部分都是中老年人，早上做ct也是90%都是老年人，九江一个四线？应该算四线城市吧。市医院的人手根本不够，下午在呼吸内科，住院收不下了，人都住满了，有个叔叔千说万说才给让挂水，不住院不能挂水，他说他住这附近，给他挂水的地方就行了不用床都行。这还没有到春运期间，医院的护士嗓子都是哑的，医护真的太惨了，救护车一辆接着一辆出去。,"2,168,171","2,168,171",,,,,,,,,,,,,,,,,,,
该死的新冠，高烧反反复复，现在都这样了，让生活在地球上的人类怎么想后面的生活，地球是怎么了？,"2,1,3","2,1,3",,,,,,,,,,,,,,,,,,,
这段时间应该阳了不少人吧？那么康复后多久可以恢复运动呢？,1,1,,,,,,,,,,,,,,,,,,,
抗阳中的老爸，令我心如刀割。自我安慰：78岁了，也是到了高龄。新冠疫情，无法阻挡。用尽我所能做到的。你对我的爱，不会中断，我会感受到的，无论你在哪里。你的真诚，聪明，豁达，无所谓，与人和气相处……这些都是宝贵的。,1,1,,,,,,,,,,,,,,,,,,,
全家晕睡了七天，这个毒株太毒了。图是周六晚上去扔垃圾，九点多，除了快递空无一人的小区。这几天也渐渐恢复了人气，一群阳康小朋友在楼下呼朋唤友，娃出去玩，我也可以安静一下。,1,1,,,,,,,,,,,,,,,,,,,
过去美西方之所以放开疫情防控，是因为他们根本做不到在疫情爆发之初就进行严格的防控，就算出台了防控政策，也管不住自己的人民，因此也控制不住疫情扩散的速度，反而白白的牺牲了经济发展水平。,"2,79,84","2,79,84",,,,,,,,,,,,,,,,,,,
为什么不是在全员接种mRNA疫苗后再开放？针对有基础病年纪大的患者，为什么不在Paxlovid等药品有保障后再开放？有再多理由也好、借口也罢，现实就是连老人接种第四针灭活疫苗都还需要排队，直至去世也没能接种。我能理解开放是必然，但开放之前的这些工作请问做到位了吗？,"2,67,69","2,67,69",,,,,,,,,,,,,,,,,,,
疫情当下，能够一家人齐齐整整，坐在一起吃顿饭都变得奢侈，但是，我相信总会过去的，中国人，流着的是敢与天斗的基因，期待春暖花开时。,"0,57,63","0,57,63",,,,,,,,,,,,,,,,,,,
不知道怎么样？脑子现在确实确实有一些混乱。新冠疫情真的能侵入人的大脑吗？,1,1,,,,,,,,,,,,,,,,,,,
随着新冠疫情蔓延至广大乡村，恳请政府方面一定重视宗教势力借机活动大肆敛财等问题。近年来各种宗教组织利用乡村留守老人留守儿童精神空虚，在乡村大肆发展，聚敛钱财，散布错误价值观，这种局面，再叠加疫情的刺激，势必造成社会严重不稳定因素。,"2,108,113","2,108,113",,,,,,,,,,,,,,,,,,,
病毒对某个物种致病只是副产物，就说新冠在人这里高潮迭起，可它也感染大多数哺乳动物，这些动物几乎只有轻微症状。觉得病毒只会朝着低致病方向演化的可以省省，HIV变异能力不差吧，减弱了么，而且在黑猩猩身上的原始毒株对人类并不致病。还有天花、结核这些病原体，问问他们是朝低致病性演化了么，所谓的低致病性只是偶然。,1,1,,,,,,,,,,,,,,,,,,,
在阳外瑟瑟发抖出门，买点东西到处是阳人，都在讨论现有症状，回来一包包喷酒精，过热水，谨小慎微。愿奥密克戎大人放过！,"2,4,8","2,4,8",,,,,,,,,,,,,,,,,,,
国内现在疫情刚刚放开，疫情也才刚刚开始，后面还有好几波呢！2023.1.3后会再有一波！春节后还会再有一波！因为病毒载体不一样，阳了的还会再阳！到那时，那些阳了的人还是前一波阳过的人，因为他们还是会不好好防范！那些没阳的人还是没有阳，因为他们始终都会加强防范！所以，能不阳就尽量不要阳！我们一起加油！,"0,148,150","0,148,150",,,,,,,,,,,,,,,,,,,
一下放开是不是太有问题了，就不能实施逐步放开么？现在整个中国人大多数都生病状态。这样一下放开的政策是不是太“摆烂”了。这是拿老百姓的生命在开玩笑。本来没病的人要被迫生病，人民的生命是否高于一切？,"2,55,57","2,55,57",,,,,,,,,,,,,,,,,,,
微博是懂得如何吓人的。昨天晚上怎么都睡不着，以为是下午睡多了刚刚挡窗户的垫子一整个掉落以为它为我“阳转阴”而欢脱了粘上还是睡不着打开微博“失眠可能是肺出问题了”我真的会谢的一天天的不要这么吓孩子了。,"2,8,10","2,8,10",,,,,,,,,,,,,,,,,,,
“以前是你防别人，现在攻守易位。”日本、印度、韩国、意大利……对来自中国的游客采取相应的入境防疫措施。,1,1,,,,,,,,,,,,,,,,,,,
有点吓人，怎么说呢，希望大家家人都平平安安，健健康康,"0,11,13","0,11,13",,,,,,,,,,,,,,,,,,,
看着现在的症状都把大家折腾得这么难受，真的不敢想象三年前的武汉。经历过才知道国泰民安才是心之所向。,1,1,,,,,,,,,,,,,,,,,,,
三千七百公里的空运，飞的时候我们刚阳，到的时候我们已经都转阴了,1,1,,,,,,,,,,,,,,,,,,,
现在的人们都怎么了，问候从“你吃了吗”全变成了“你阳了吗”，难道新冠不是病么，明明可以好好防护尽量不得或者晚的病，难道现在已经跟吃饭一样平常事了吗？难道对自己的防护错了嘛…就应该人人不戴口罩大街上撒花么？大家怎么好像因为一场疫情，观念可以扭曲成这样。难道不阳不应该么？,1,1,,,,,,,,,,,,,,,,,,,
疫情期间，失眠的问题困扰着很多人。感染新冠病毒后，同时患有睡眠障碍，可以吃失眠药吗？,1,1,,,,,,,,,,,,,,,,,,,
老年人是新冠病毒感染的高风险人群，一旦感染，往重症方向发展的几率相比年轻人高很多，除了做好防护，接种疫苗也很关键,1,1,,,,,,,,,,,,,,,,,,,
简直就是荒缪绝伦！不用等到历史书总结的那天，这些宣传新冠就是普通流感，属于一场感冒的专家，那些拍板同步开放的决策者，你们就是中国的罪人！,2，5，9,2，5，9,,,,,,,,,,,,,,,,,,,
孕妇假如出现了新冠阳性，孕妇及家人首先要做到不紧张、不恐慌、不焦虑，因为孕妇的病程和普通人是相似的。,1,1,,,,,,,,,,,,,,,,,,,
我相信，会越来越好的！,"0,6,10","0,6,10",,,,,,,,,,,,,,,,,,,
新冠居家的第八天，重获新生，有种不知今夕是何年的恍惚。 过程中发烧鼻塞咽痛的折磨，加之不知道何时发生的后遗症，正在摧毁着人们的信心。疫情让人身心俱疲，几十亿人口在小小的病毒面前，溃不成军。愿山河无恙，平安喜乐，来日方长。,"0,101,105","0,101,105",,,,,,,,,,,,,,,,,,,
如果你们进来我微博了，我知道你们也看不到我想要说的话！面对疫情，我真的有话要说！家人们，面对疫情，我们已经没有退路可言！总之，保护好自己就是对祖国的热爱！保护好自己就是对祖国的贡献！,1,1,,,,,,,,,,,,,,,,,,,
阳康后小瑄首次野河钓鱼，临近傍晚大鲫鱼咬钩疯狂，这下钓过瘾了。,"0,28,30","0,28,30",,,,,,,,,,,,,,,,,,,
历时八天，终于转阴。就剩下咳嗽、鼻塞和完全的嗅觉失灵。才发现薄荷的清凉感是靠鼻子感知的，自从嗅觉失灵，洗发水都不凉了。刚开始朵朵阳了的时候，家里的状态有点像过年，老公也不加班了，孩子们也不出门了，一家人窝在家里，两个娃又闹又笑。但当大人倒下，尤其是一起倒，一切就开始乱套。我以前最讨厌熬这个字，但这八天，真是一天天熬过来的，各种朋友群里也看到好多人没熬过这个冬天，悲伤。,"2,183,185","2,183,185",,,,,,,,,,,,,,,,,,,
为什么明知道是美国人制造的病毒，美国人还安然无恙的生活！为什么这个世界这么恐怖，为什么会有这么可怕的美国人！为什么我们不能消灭这个世界上的坏人！难道就这样任由他们破坏中国人民的健康吗？多少尸骨，都不会忘记今日之大灾，这仇我们一定要报！,"2,38,40","2,38,40",,,,,,,,,,,,,,,,,,,
活久了确实啥都能看见。哪怕只是在一年前，那时候照样是疫情中，谁能想到自己有生之年会看到短时间内十几亿中国人一起发烧一起闯关抗瘟疫?翻遍中华上下五千年史书，都找不到比这次规模更大的疫情。,1,1,,,,,,,,,,,,,,,,,,,
三年防控一朝放开，不小心打了个急弯? 体会过新冠的传染性多强，轻症多难受，以及真实的重症和病亡率后，我琢磨着，如果必须放开，是不能搞试点城市的。因为那样的话，全国老百姓都不会同意放开了。所以必须打急弯。,1,1,,,,,,,,,,,,,,,,,,,
今晚去淮南新体育馆广场转了一圈，空无一人，和放开前的热闹场面形成鲜明对照！,1,1,,,,,,,,,,,,,,,,,,,
疫情测出了阴性阳性，也测出了人。 1床在抢救 ，3床（头晕病人）家属在那狂喊怎么还不给她们打针影响我们治疗时间。无奈，抽空准备给她打。 这个时候来了个6床（窒息病人）马上准备吸氧吸痰，3床家属又炸了，疯狂骂人，6床家属肯肯哀求，3床家属还是不依不饶。我的天，你只是头晕，人家是没命了，为什么会有这么自私的人。,"2,150,152","2,150,152",,,,,,,,,,,,,,,,,,,
胡锡进居然躲过一劫。这个没底裤的东西去看了医生，挤兑本已紧张的医疗资源，真是无耻。这么多国家栋梁都走了，这个跳梁小丑没事，又在得瑟呢。也许老天让他活着看一下什么叫新冠、什么叫流感。不过这也没用，这个没心没肺的东西眼里只有臭铜钱。这不过是疫情风暴第一波，还有第二波，第三波，总会把这脏东西冲走的。我还是相信天道好轮回，苍天饶过谁。一定不会放过他，最好所有的症状在他身上发一遍，让他圆满而疾。,"2,39,41,141,144","2,39,41,141,144",,,,,,,,,,,,,,,,,,,
2岁多的孩子，发烧后第15天了，做了两次核酸，都还是阳性，有没有其他孩子也这样？精神状态什么都正常，能吃能玩能睡，和生病前无差别，就是睡觉的时候感觉他还有鼻塞，也有点黏痰，玩太兴奋或者跑太急了，会咳嗽，这种情况也不知需不需要去医院查下,1,1,,,,,,,,,,,,,,,,,,,
国家保护人民三年。2022年的冬天，每个人用炽热的身体与病毒进行着最后的抗争，以世所罕见的感染速度与病毒进行着赛跑。这是最后的战斗，每个人都公平地站在起跑线上，但并不是所有人都能到达温暖的终点。马上进入2023了，好好告个别吧。这糟糕的2022，终于走了，再也不见，再也不想回忆。希望2023年，这个人间能够得到善待！,1,1,,,,,,,,,,,,,,,,,,,
萧伯纳说：“ 世上没有任何政府是值得歌颂的，哪怕它是个好政府！因为政府是纳税人养活的，为纳税人把事情办好本来就应该，还需要歌颂吗？而公民应该做的则是瞪大自己的眼睛，发现并阻止政府的恶行和批评它的不足。真正值得歌颂的是那些历史上和当下，不懈地争取和守护着人的自由、权利和尊严的人们。”,1,1,,,,,,,,,,,,,,,,,,,
这新冠病情真是一天一个样，一天天真有节目，白天时就偶尔咳。一到睡觉的时候这病毒可能想起来一天没作我了 ，晚上必须得作作你！“来吧！咳嗽吧！一宿别睡啦！ ”给我气的半袖半夜也么不睡了！就咳！我看能咳成什么程度！,1,1,,,,,,,,,,,,,,,,,,,
疫情，睡一觉，痛苦就少点儿 ，难熬的十二月，男女老少十几亿人一起“渡劫”,"2,8,10","2,8,10",,,,,,,,,,,,,,,,,,,
同事陆续返岗，见面说的最多的是：“恢复的怎样了？”最近经常接到员工的请假单，其中不乏有“奔丧”，3/4份了吧。不忙的时候也会浏览下微信的聊天记录：同事的前同事突发心梗去世。朋友的交集圈一酒友转阴后返岗当晚家中突发心梗去世。运动圈里更是猝死、病毒性心肌炎的消息络绎不绝。这就是已经预判到的代价吧。,1,1,,,,,,,,,,,,,,,,,,,
疫情当前，我只能用画笔为大家祈福！愿疫情快快散去，所有人都能回归到自己想要的生活！,"0,15,17","0,15,17",,,,,,,,,,,,,,,,,,,
愈演愈烈，我们骨科病区今天正式开始接收“新冠感染”患者，21年工龄的骨科大夫要开始干内科了！,1,1,,,,,,,,,,,,,,,,,,,
近期，新冠造成大面积的医疗资源挤兑，如果你拥有中高端医疗险，可以用它来争取医疗资源，也许会多个保命的机会。,1,1,,,,,,,,,,,,,,,,,,,
真应该早喝咖啡啊，阳的这两周都没喝咖啡，一直昏昏沉沉也学不进去，今天喝了一杯，真的有精神！,1,1,,,,,,,,,,,,,,,,,,,
关于张文宏，突然有一个不祥之兆：张文宏说现在是新冠疫情最后一个冬天，23年夏天就会走出疫情。张文宏说新冠就是感冒，当然就应该知道新冠疫情近期不会结束，流感疫情100多年了，不是也没结束么？难道他连这点都不知道？不会吧！除非对张文宏来说，等于新冠疫情已经结束了…倒吸一口冷气，会是这样？,"2,12,16","2,12,16",,,,,,,,,,,,,,,,,,,
关于这次感染，为啥有些人几乎没有反应，有些人却痛的要死。我这里提供一个可能性，当然样本非常少，只是猜测。我身边这次我知道的四个几乎没有任何症状或症状极轻的人，包括我父亲，我自己，我一个同学，一个同事，大家有一个共同点就是天生携带乙肝抗体。这让我想起关于熊去氧胆酸可以治疗新冠的事实，这个药也是治疗肝病的。所以专家们或许可能从这个方向入手。,1,1,,,,,,,,,,,,,,,,,,,
